ID,Year,Start,End,Operation,Parent,Duration (days),Days into parent,Drones,Air to air,Cruise missiles,Aerial bombing,Close air support,Ground troops,Paramil,US allies,State targets,Non-state targets,Latitude,Longitude,Urban,Forest,Mountain,Side A casualties,Side B casualties,Civilian casualties,US casualties,Latitude_Clean,Longitude_Clean,Coordinate_Status,Coordinate_Note
288,2016,2016-04-24,2016-04-25,Battle of Al Mukalla (2016),Yemeni Crisis,1,,1,0,0,0,0,1,0,4,1,1,145.349.998.474.121,491.235.008.239.746,1,0,1,27,,14,,14.53499985,49.12350082,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
285,2016,2016-04-26,2018-04-29,Hadramaut Insurgency,Yemeni Crisis,733,,1,0,0,1,0,0,0,4,1,1,169.304.135,493.653.149,0,0,1,143,57,12,,16.9304135,49.3653149,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
68,2016,2016-05-12,2016-12-06,2016 Sirte offensive,Libyan Crisis,208,,0,0,0,0,0,1,0,3,0,1,312.071.990.966.797,165.916.996.002.197,2,0,0,740,2500,37,1,31.2071991,16.5916996,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
27,2016,2016-05-21,2016-05-30,Northern Raqqa offensive (May 2016),Syrian Civil War,9,1894,0,0,0,1,0,0,1,1,0,1,359.500.007.629.395,390.167.007.446.289,2,0,1,18,79,,0,35.95000076,39.01670074,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
26,2016,2016-05-31,2016-08-27,Manbij offensive,Syrian Civil War,88,1904,1,0,0,1,0,1,1,8,0,1,362.262.393,374.681.396,,,,,,444,,36.2262393,37.4681396,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
33,2016,2016-09-16,2016-09-27,Northern al-Bab offensive,Syrian Civil War,11,2012,0,0,0,0,0,0,1,2,1,1,362.697.715,375.534.526,0,0,1,8,45,,0,36.2697715,37.5534526,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
13,2016,2016-09-17,2016-09-17,September 2016 Deir ez-Zor air raid,Syrian Civil War,0,2013,0,0,0,1,0,0,0,3,1,0,352.851.153,401.762.432,1,0,1,0,55,,0,35.2851153,40.1762432,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
30,2016,2016-09-28,2016-10-16,2016 Dabiq offensive,Syrian Civil War,18,2024,0,0,0,0,0,0,1,2,1,1,362.262.393,374.681.396,1,0,1,90,197,,0,36.2262393,37.4681396,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
31,2016,2016-11-06,2017-02-23,Battle of al-Bab,Syrian Civil War,109,2063,0,0,0,1,0,0,0,3,0,1,362.697.715,375.534.526,0,0,1,559,1348,444,,36.2697715,37.5534526,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
17,2016,2016-12-08,2016-12-22,Palmyra offensive (December 2016),Syrian Civil War,14,2095,0,0,0,1,0,0,0,0,4,1,342.567.123,383.165.725,0,0,0,149,182,,,34.2567123,38.3165725,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
18,2016,2016-12-29,2017-05-30,2017 southern Syria offensive,Syrian Civil War,152,2116,0,0,0,1,0,0,1,3,0,1,327.128.968,365.662.858,2,0,1,117,21,,,32.7128968,36.5662858,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
222,2017,2017-01-01,2017-03-27,Fall of Sangin,War in Afghanistan,85,5565,0,0,0,1,0,0,0,1,1,1,320.710.999,648.525.866,0,0,1,100,32,,,32.0710999,64.8525866,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
32,2017,2017-01-17,2017-04-05,East Aleppo offensive,Syrian Civil War,78,2135,0,0,0,0,0,0,1,4,1,1,36.372.501.373.291,375.177.993.774.414,2,0,1,174,1250,,,36.37250137,37.51779938,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
287,2017,2017-01-29,2017-01-29,Raid on Yakla,Yemeni Crisis,0,,0,0,0,0,1,0,1,1,1,1,143.588.662,454.498.065,0,0,1,1,14,20,,14.3588662,45.4498065,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
265,2017,2017-02-10,2017-02-10,2017 Sangin airstrike,War in Afghanistan,0,5605,0,0,0,1,0,0,0,0,1,1,320.733.337.402.344,64.837.776.184.082,0,0,1,,,20,,32.07333374,64.83777618,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
4,2017,2017-03-16,2017-03-16,2017 al-Jinah airstrike,Syrian Civil War,0,2193,1,0,0,1,0,0,0,0,1,1,361.078.987.121.582,367.869.987.487.793,1,0,1,,,,,36.10789871,36.78699875,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
75,2017,2017-03-17,2017-03-17,2017 Mosul airstrike,American-led intervention in Iraq (2014–present),0,1006,0,0,0,1,0,0,0,0,0,1,363.400.001.525.879,431.300.010.681.152,1,0,0,,,278,,36.34000015,43.13000107,cleaned_from_original,Decimal restored using operation/parent theater bbox; review if exact location matters
